priority	publisher_bucket	gap_score	pmid	pubmed_url	journal	doi	doi_url	pmc_id	pdf_ok	pdf_source	supp_ok	supp_source	reads_ok	reads_source	reads_accessions	n_runs	total_gb	verdict	action	user_notes
P0-plugin-done	bmj	1	30987986	https://pubmed.ncbi.nlm.nih.gov/30987986/	BMJ Open	10.1136/bmjopen-2018-024872	https://doi.org/10.1136/bmjopen-2018-024872	PMC6500366	yes	bmj,pmc_oa,unpaywall	yes	pmc_oa	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	30899534	https://pubmed.ncbi.nlm.nih.gov/30899534/	BMJ Open Gastroenterol	10.1136/bmjgast-2018-000247	https://doi.org/10.1136/bmjgast-2018-000247	PMC6398873	yes	bmj,pmc_oa,unpaywall	yes	pmc_oa	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	0	31275588	https://pubmed.ncbi.nlm.nih.gov/31275588/	BMJ Open Gastroenterol	10.1136/bmjgast-2019-000297	https://doi.org/10.1136/bmjgast-2019-000297	PMC6577315	yes	bmj,pmc_oa,unpaywall	yes	html_mining	yes	data_avail_section	PRJNA534511	552	2.84			
P0-plugin-done	bmj	1	27742762	https://pubmed.ncbi.nlm.nih.gov/27742762/	Gut	10.1136/gutjnl-2016-312580	https://doi.org/10.1136/gutjnl-2016-312580	PMC5607064	yes	bmj,unpaywall	yes	publisher:bmj	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	3	28951525	https://pubmed.ncbi.nlm.nih.gov/28951525/	Gut	10.1136/gutjnl-2017-314968	https://doi.org/10.1136/gutjnl-2017-314968		no	NONE	no	NONE	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	28988196	https://pubmed.ncbi.nlm.nih.gov/28988196/	Gut	10.1136/gutjnl-2017-314814	https://doi.org/10.1136/gutjnl-2017-314814	PMC6204958	yes	bmj,pmc_oa,unpaywall	yes	pmc_oa+publisher:bmj	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	3	29437871	https://pubmed.ncbi.nlm.nih.gov/29437871/	Gut	10.1136/gutjnl-2016-313498	https://doi.org/10.1136/gutjnl-2016-313498		no	NONE	no	NONE	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	30377189	https://pubmed.ncbi.nlm.nih.gov/30377189/	Gut	10.1136/gutjnl-2018-317200	https://doi.org/10.1136/gutjnl-2018-317200	PMC6352414	yes	bmj,pmc_oa,unpaywall	yes	pmc_oa+publisher:bmj	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	30472682	https://pubmed.ncbi.nlm.nih.gov/30472682/	Gut	10.1136/gutjnl-2018-317178	https://doi.org/10.1136/gutjnl-2018-317178	PMC6580778	yes	bmj,pmc_oa,unpaywall	yes	pmc_oa+publisher:bmj	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	34937766	https://pubmed.ncbi.nlm.nih.gov/34937766/	Gut	10.1136/gutjnl-2020-323951	https://doi.org/10.1136/gutjnl-2020-323951	PMC9484392	yes	bmj,pmc_oa,unpaywall	yes	publisher:bmj	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	2	35953094	https://pubmed.ncbi.nlm.nih.gov/35953094/	Gut	10.1136/gutjnl-2022-327156	https://doi.org/10.1136/gutjnl-2022-327156		yes	bmj	no	NONE	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	3	36585238	https://pubmed.ncbi.nlm.nih.gov/36585238/	Gut	10.1136/gutjnl-2022-328389	https://doi.org/10.1136/gutjnl-2022-328389		no	NONE	no	NONE	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	37597851	https://pubmed.ncbi.nlm.nih.gov/37597851/	J Immunother Cancer	10.1136/jitc-2023-007420	https://doi.org/10.1136/jitc-2023-007420	PMC10441105	yes	bmj,pmc_oa,unpaywall	yes	html_mining	no	NONE	NONE	0	0.0			
P0-plugin-done	bmj	1	38035726	https://pubmed.ncbi.nlm.nih.gov/38035726/	J Immunother Cancer	10.1136/jitc-2023-007840	https://doi.org/10.1136/jitc-2023-007840	PMC10689421	yes	bmj,pmc_oa,unpaywall	yes	html_mining	no	NONE	NONE	0	0.0			
P0-plugin-done	nature	0	33262469	https://pubmed.ncbi.nlm.nih.gov/33262469/	Cell Death Differ	10.1038/s41418-020-00684-w	https://doi.org/10.1038/s41418-020-00684-w	PMC8167112	yes	nature,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature	yes	europepmc	PRJNA478491	400	71.4			
P0-plugin-done	nature	1	28837129	https://pubmed.ncbi.nlm.nih.gov/28837129/	ISME J	10.1038/ismej.2017.139	https://doi.org/10.1038/ismej.2017.139	PMC5702742	yes	nature_legacy,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature_legacy	no	NONE	NONE	0	0.0			
P0-plugin-done	nature	0	30604764	https://pubmed.ncbi.nlm.nih.gov/30604764/	Nat Commun	10.1038/s41467-018-07841-3	https://doi.org/10.1038/s41467-018-07841-3	PMC6318335	yes	nature,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature	yes	europepmc	PRJNA436359,PRJNA429769,PRJNA483949	1869	1426.14			
P0-plugin-done	nature	1	31320627	https://pubmed.ncbi.nlm.nih.gov/31320627/	Nat Commun	10.1038/s41467-019-10987-3	https://doi.org/10.1038/s41467-019-10987-3	PMC6639368	yes	nature,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature	no	NONE	NONE	0	0.0			
P0-plugin-done	nature	0	34006865	https://pubmed.ncbi.nlm.nih.gov/34006865/	Nat Commun	10.1038/s41467-021-23029-8	https://doi.org/10.1038/s41467-021-23029-8	PMC8131609	yes	nature,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature	yes	html_text_mine	PRJEB27928	260	208.37			
P0-plugin-done	nature	0	34103493	https://pubmed.ncbi.nlm.nih.gov/34103493/	Nat Commun	10.1038/s41467-021-23717-5	https://doi.org/10.1038/s41467-021-23717-5	PMC8187652	yes	nature,pmc_oa,unpaywall	yes	pmc_oa+publisher:nature	yes	europepmc	PRJNA707542	53	97.44			
