journal	N	n_pdf	pct_pdf	n_supp	pct_supp	n_reads	pct_reads	n_paywalled_local_attempted
Front Microbiol	31	31	100.0	29	93.5	16	51.6	0
Cancers (Basel)	15	15	100.0	12	80.0	5	33.3	0
Gut Microbes	15	15	100.0	12	80.0	3	20.0	0
Front Cell Infect Microbiol	14	14	100.0	10	71.4	6	42.9	0
Front Oncol	14	14	100.0	14	100.0	6	42.9	0
BMC Microbiol	10	10	100.0	10	100.0	2	20.0	0
Microorganisms	10	10	100.0	7	70.0	1	10.0	0
PLoS One	10	10	100.0	10	100.0	4	40.0	0
Gut	9	6	66.7	5	55.6	0	0.0	0
Cancer Med	8	8	100.0	6	75.0	0	0.0	0
Gastroenterology	8	5	62.5	0	0.0	1	12.5	0
Sci Rep	8	8	100.0	8	100.0	3	37.5	0
Microbiome	7	7	100.0	7	100.0	2	28.6	0
Nat Commun	7	7	100.0	7	100.0	3	42.9	0
mSystems	7	7	100.0	4	57.1	6	85.7	0
Oncotarget	6	6	100.0	4	66.7	0	0.0	0
mBio	6	6	100.0	4	66.7	5	83.3	0
Cancer Epidemiol Biomarkers Prev	5	4	80.0	0	0.0	1	20.0	0
Front Pharmacol	5	5	100.0	3	60.0	1	20.0	0
J Transl Med	5	5	100.0	5	100.0	0	0.0	0
Nutrients	5	5	100.0	4	80.0	1	20.0	0
Genes (Basel)	4	4	100.0	2	50.0	1	25.0	0
Gut Pathog	4	4	100.0	3	75.0	1	25.0	0
Int J Mol Sci	4	4	100.0	2	50.0	0	0.0	0
Microbiol Spectr	4	4	100.0	2	50.0	3	75.0	0
Am J Clin Nutr	3	1	33.3	1	33.3	1	33.3	0
Anaerobe	3	3	100.0	0	0.0	0	0.0	0
BMC Cancer	3	3	100.0	3	100.0	0	0.0	0
Clin Cancer Res	3	3	100.0	0	0.0	0	0.0	0
Front Cell Dev Biol	3	3	100.0	2	66.7	3	100.0	0
Front Genet	3	3	100.0	2	66.7	2	66.7	0
Front Immunol	3	3	100.0	3	100.0	2	66.7	0
