priority	publisher_bucket	doi_prefix	n_papers_in_prefix	journal	pmid	doi	cur_pdf_ok	cur_supp_ok	cur_reads_ok	gap_score
P0-plugin-done	springer	10.1007	31	Eur J Clin Microbiol Infect Dis	28600626	10.1007/s10096-017-3026-4	yes	no	yes	1
P0-plugin-done	springer	10.1007	31	Med Microbiol Immunol	29687353	10.1007/s00430-018-0542-5	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Virchows Arch	29705968	10.1007/s00428-018-2359-4	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Dig Dis Sci	29995183	10.1007/s10620-018-5190-5	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Apoptosis	30506375	10.1007/s10495-018-1500-9	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Methods Mol Biol	30725462	10.1007/978-1-4939-9027-6_16	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Sci China Life Sci	30796721	10.1007/s11427-018-9456-x	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Front Med	31250341	10.1007/s11684-019-0695-7	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Curr Colorectal Cancer Rep	31680787	10.1007/s11888-019-00435-1	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Dig Dis Sci	32974807	10.1007/s10620-020-06612-9	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Eur J Nucl Med Mol Imaging	33128571	10.1007/s00259-020-05081-6	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Curr Pharmacol Rep	33224717	10.1007/s40495-019-00196-3	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Environ Sci Pollut Res Int	33405122	10.1007/s11356-020-11961-z	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Curr Colorectal Cancer Rep	33456404	10.1007/s11888-018-0416-7	yes	no	no	2
P0-plugin-done	springer	10.1007	31	J Gastrointest Cancer	33492618	10.1007/s12029-021-00588-z	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Support Care Cancer	33495850	10.1007/s00520-021-06013-2	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Indian J Microbiol	33505091	10.1007/s12088-020-00909-z	yes	yes	yes	0
P0-plugin-done	springer	10.1007	31	World J Surg	33742231	10.1007/s00268-021-06062-y	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Oncol Ther	33895946	10.1007/s40487-021-00151-7	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Genes Genomics	36512197	10.1007/s13258-022-01340-y	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	J Cancer Res Clin Oncol	36583742	10.1007/s00432-022-04544-7	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Clin Transl Oncol	36633831	10.1007/s12094-022-03061-w	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	J Cancer Res Clin Oncol	36656381	10.1007/s00432-022-04553-6	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Clin Exp Med	37027066	10.1007/s10238-023-01048-7	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	Parasitol Res	37162590	10.1007/s00436-023-07842-2	yes	yes	no	1
P0-plugin-done	springer	10.1007	31	J Gastrointest Cancer	37310549	10.1007/s12029-023-00925-4	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Folia Microbiol (Praha)	37344611	10.1007/s12223-023-01072-w	yes	yes	yes	0
P0-plugin-done	springer	10.1007	31	Amino Acids	37490156	10.1007/s00726-023-03308-y	yes	no	no	2
P0-plugin-done	springer	10.1007	31	Int J Colorectal Dis	37555867	10.1007/s00384-023-04497-4	yes	no	yes	1
P0-plugin-done	springer	10.1007	31	Clin Exp Med	37612430	10.1007/s10238-023-01165-3	yes	yes	yes	0
P0-plugin-done	springer	10.1007	31	Support Care Cancer	37819383	10.1007/s00520-023-08058-x	yes	no	no	2
P0-plugin-done	nature	10.1038	27	ISME J	28837129	10.1038/ismej.2017.139	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Oncogene	28869607	10.1038/onc.2017.314	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	NPJ Biofilms Microbiomes	29104759	10.1038/s41522-017-0034-1	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	NPJ Biofilms Microbiomes	29214046	10.1038/s41522-017-0040-3	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Sci Rep	29985435	10.1038/s41598-018-28671-9	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Sci Rep	30228361	10.1038/s41598-018-32413-2	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Commun	30604764	10.1038/s41467-018-07841-3	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Med	30936548	10.1038/s41591-019-0405-7	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Med	31171880	10.1038/s41591-019-0458-7	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Sci Data	31278253	10.1038/s41597-019-0117-3	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Commun	31320627	10.1038/s41467-019-10987-3	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Sci Rep	31358825	10.1038/s41598-019-45588-z	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Cell Death Differ	33262469	10.1038/s41418-020-00684-w	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Sci Rep	33758296	10.1038/s41598-021-86247-6	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Nat Commun	34006865	10.1038/s41467-021-23029-8	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Commun	34103493	10.1038/s41467-021-23717-5	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Commun	34584098	10.1038/s41467-021-25965-x	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Sci Rep	34599256	10.1038/s41598-021-99046-w	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Nat Commun	34799562	10.1038/s41467-021-27112-y	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Sci Rep	35039534	10.1038/s41598-022-04773-3	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Microbiol	35087227	10.1038/s41564-021-01030-7	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Genet	35115689	10.1038/s41588-021-00991-z	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Sci Rep	37095272	10.1038/s41598-023-33794-9	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	NPJ Biofilms Microbiomes	37127667	10.1038/s41522-023-00391-7	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Nat Med	37202560	10.1038/s41591-023-02324-5	yes	yes	no	1
P0-plugin-done	nature	10.1038	27	Sci Rep	37237024	10.1038/s41598-023-34557-2	yes	yes	yes	0
P0-plugin-done	nature	10.1038	27	Nat Commun	38030613	10.1038/s41467-023-43329-5	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	Gut	27742762	10.1136/gutjnl-2016-312580	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	Gut	28951525	10.1136/gutjnl-2017-314968	no	no	no	3
P0-plugin-done	bmj	10.1136	14	Gut	28988196	10.1136/gutjnl-2017-314814	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	Gut	29437871	10.1136/gutjnl-2016-313498	no	no	no	3
P0-plugin-done	bmj	10.1136	14	Gut	30377189	10.1136/gutjnl-2018-317200	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	Gut	30472682	10.1136/gutjnl-2018-317178	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	BMJ Open Gastroenterol	30899534	10.1136/bmjgast-2018-000247	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	BMJ Open	30987986	10.1136/bmjopen-2018-024872	yes	yes	no	1
P0-plugin-done	bmj	10.1136	14	BMJ Open Gastroenterol	31275588	10.1136/bmjgast-2019-000297	yes	no	no	2
