pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
28988196	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	not-stated	unknown	unknown	CRC+polyp(inferred)	recovery-still-supp-tables-only;oral-and-fecal-inferred	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28988196.md
36864380	UNCERTAIN	LOW	PASS	PASS	PASS	NOT-STATED	PASS	stool	16S	not-stated	human	cross-sectional-case-control	colon-cancer	healthy+colon-cancer+irinotecan-3-arms;recovery-supp-only-no-methods	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36864380.md
29041989	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	FAIL	PASS	stool	shotgun-WGS	SOLiD-5500	human	cross-sectional-case-control	alcohol-dependence-syndrome+alcoholic-liver-disease	non-CRC-disease-scope;SOLiD-not-Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29041989.md
29120399	PARTIAL	HIGH	PASS	PARTIAL	PASS	PARTIAL	PASS	stool+tissue-biopsy	mixed-HITChip+454+shotgun-WGS	mixed-Illumina-MiSeq+454	human	cross-sectional-case-control	CRC+adenoma	qualifying-subset=20-stool-Illumina-MiSeq-shotgun(10-adenoma+10-healthy);stool-16S-was-HITChip-microarray;tissue-16S-was-454-pyroseq;validation-cohorts-qPCR-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29120399.md
29145893	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina-MiSeq	human	longitudinal-pre-post-treatment;CRC-only-stratified-cohort	adenoma+advanced-adenoma+carcinoma	CRC-only-stratified(no-healthy);SRP096978-new-seq;SRP062005-reused-Baxter2016	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29145893.md
29642940	OUT-OF-SCOPE	HIGH	FAIL	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina-HiSeq-2000/2500	human	cross-sectional-case-control	CRC	re-analysis-only-of-NCBI-deposited-cohorts;Vogtmann/Feng/Yu/Zeller-2014-2016	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29642940.md
29795787	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	PASS	PASS	tissue-biopsy	16S-V5V6	Illumina-MiSeq	human	paired-tumor-normal	CRC	microbiome-16S-reused-from-Burns-2015-PRJNA284355;tissue-not-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29795787.md
29852000	OUT-OF-SCOPE	HIGH	PASS	PASS	PASS	NOT-STATED	FAIL	stool+mucosa	16S	not-stated	dog	cross-sectional-case-control	canine-colorectal-tumors	non-human-subjects-only(dogs)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29852000.md
30548192	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S-V3V4	Illumina-MiSeq-PE300	human	cross-sectional-case-control	CRC+adenoma+post-op+healthy	4-groups-Chinese-cohort;NCT03385213;follow-up-subset-NDA-vs-CIT	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30548192.md
30832616	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	FAIL	cell-line+mouse-xenograft	enzyme-cytotoxicity-assay	none	mixed-cell-line+mouse	in-vitro+xenograft	CRC-Caco-2-cells+GL261-glioma-mouse	not-a-microbiome-study;suicide-gene-therapy-prodrug-paper;metagenomic-mentioned-only-for-Vcz-gene-discovery	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30832616.md
