pmid	journal	doi	text_path
27742762	Gut	10.1136/gutjnl-2016-312580	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_27742762.txt
28951889	mSystems	10.1128/mSystems.00065-17	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_28951889.txt
29214046	NPJ Biofilms Microbiomes	10.1038/s41522-017-0040-3	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29214046.txt
29361968	Genome Biol	10.1186/s13059-018-1389-1	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29361968.txt
29687353	Med Microbiol Immunol	10.1007/s00430-018-0542-5	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29687353.txt
29795787	mSystems	10.1128/mSystems.00205-17	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29795787.txt
30007819	Eur Urol	10.1016/j.eururo.2018.06.033	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30007819.txt
30157754	BMC Microbiol	10.1186/s12866-018-1232-6	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30157754.txt
30245977	Front Cell Infect Microbiol	10.3389/fcimb.2018.00281	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30245977.txt
30472682	Gut	10.1136/gutjnl-2018-317178	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30472682.txt
30710467	J Genet Couns	10.1002/jgc4.1048	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30710467.txt
30796721	Sci China Life Sci	10.1007/s11427-018-9456-x	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30796721.txt
30972034	Front Microbiol	10.3389/fmicb.2019.00474	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30972034.txt
31068913	Front Microbiol	10.3389/fmicb.2019.00826	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31068913.txt
31191599	Front Genet	10.3389/fgene.2019.00447	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31191599.txt
31254442	Mol Oncol	10.1002/1878-0261.12539	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31254442.txt
31311881	mBio	10.1128/mBio.01315-19	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31311881.txt
