Supplementary Table 2: ANCOM Oral Microbiota
ID FDR_CRCvsHC FDR_POLvsHC taxonomy.Kingdom taxonomy.Phylum
OTU00037 <.05 ns Bacteria Proteobacteria
OTU00103 <.05 <.05 Bacteria Firmicutes
OTU00120 <.05 ns Bacteria Bacteroidetes
OTU00189 <.05 ns Bacteria Bacteroidetes
OTU00215 <.05 ns Bacteria Bacteroidetes
OTU00465 <.05 ns Bacteria Firmicutes
OTU01421 <.05 ns Bacteria Proteobacteria
OTU02032 <.05 <.05 Bacteria Firmicutes
OTU00034 <.1 <.1 Bacteria Proteobacteria
OTU00236 <.1 <.05 Bacteria Fusobacteria
OTU00001 ns ns Bacteria Firmicutes
OTU00002 ns ns Bacteria Proteobacteria
OTU00005 ns ns Bacteria Proteobacteria
OTU00006 ns ns Bacteria Firmicutes
OTU00007 ns ns Bacteria Firmicutes
OTU00009 ns ns Bacteria Bacteroidetes
OTU00010 ns ns Bacteria Firmicutes
OTU00011 ns ns Bacteria Proteobacteria
OTU00012 ns ns Bacteria Firmicutes
OTU00016 ns ns Bacteria Firmicutes
OTU00017 ns ns Bacteria Firmicutes
OTU00018 ns ns Bacteria Bacteroidetes
OTU00019 ns ns Bacteria Bacteroidetes
OTU00020 ns ns Bacteria Firmicutes
OTU00021 ns ns Bacteria Bacteroidetes
OTU00022 ns ns Bacteria Bacteroidetes
OTU00023 ns ns Bacteria Firmicutes
OTU00025 ns ns Bacteria Firmicutes
OTU00027 ns ns Bacteria Firmicutes
OTU00028 ns ns Bacteria Firmicutes
OTU00029 ns ns Bacteria Firmicutes
OTU00030 ns ns Bacteria Actinobacteria
OTU00031 ns ns Bacteria Firmicutes
OTU00032 ns ns Bacteria Bacteroidetes
OTU00033 ns ns Bacteria Actinobacteria
OTU00038 ns ns Bacteria Firmicutes
OTU00039 ns ns Bacteria Firmicutes
OTU00040 ns ns Bacteria Firmicutes
OTU00041 ns ns Bacteria Fusobacteria
OTU00042 ns ns Bacteria Actinobacteria
OTU00043 ns ns Bacteria Proteobacteria
OTU00044 ns ns Bacteria Firmicutes
OTU00045 ns ns Bacteria Firmicutes
OTU00046 ns ns Bacteria Firmicutes
OTU00047 ns ns Bacteria Firmicutes
OTU00048 ns ns Bacteria Firmicutes
OTU00049 ns ns Bacteria Firmicutes
OTU00050 ns ns Bacteria BacteroidetesOTU00053 ns ns Bacteria Firmicutes
OTU00054 ns ns Bacteria Proteobacteria
OTU00055 ns ns Bacteria Bacteroidetes
OTU00056 ns ns Bacteria Firmicutes
OTU00058 ns ns Bacteria Bacteroidetes
OTU00059 ns ns Bacteria Bacteroidetes
OTU00060 ns ns Bacteria Bacteroidetes
OTU00061 ns ns Bacteria Proteobacteria
OTU00062 ns ns Bacteria Bacteroidetes
OTU00063 ns ns Bacteria Actinobacteria
OTU00064 ns ns Bacteria Firmicutes
OTU00065 ns <.1 Bacteria Firmicutes
OTU00066 ns ns Bacteria Firmicutes
OTU00067 ns ns Bacteria Firmicutes
OTU00068 ns ns Bacteria Bacteroidetes
OTU00069 ns ns Bacteria Firmicutes
OTU00070 ns ns Bacteria Verrucomicrobia
OTU00071 ns ns Bacteria Firmicutes
OTU00072 ns ns Bacteria Bacteroidetes
OTU00073 ns ns Bacteria Fusobacteria
OTU00074 ns ns Bacteria Firmicutes
OTU00075 ns ns Bacteria Firmicutes
OTU00076 ns ns Bacteria Bacteroidetes
OTU00077 ns ns Bacteria Proteobacteria
OTU00078 ns ns Bacteria Bacteroidetes
OTU00079 ns ns Bacteria Bacteroidetes
OTU00080 ns ns Bacteria Firmicutes
OTU00081 ns ns Bacteria Firmicutes
OTU00082 ns ns Bacteria Firmicutes
OTU00083 ns ns Bacteria Proteobacteria
OTU00084 ns ns Bacteria Actinobacteria
OTU00085 ns ns Bacteria Proteobacteria
OTU00086 ns ns Bacteria Proteobacteria
OTU00087 ns ns Bacteria Firmicutes
OTU00088 ns ns Bacteria Proteobacteria
OTU00089 ns ns Bacteria Firmicutes
OTU00090 ns ns Bacteria Firmicutes
OTU00091 ns ns Bacteria Actinobacteria
OTU00092 ns ns Bacteria Firmicutes
OTU00093 ns ns Bacteria Firmicutes
OTU00095 ns ns Bacteria Firmicutes
OTU00096 ns ns Bacteria Fusobacteria
OTU00097 ns ns Bacteria Firmicutes
OTU00098 ns ns Bacteria Bacteroidetes
OTU00099 ns ns Bacteria Proteobacteria
OTU00100 ns ns Bacteria Firmicutes
OTU00101 ns ns Bacteria Firmicutes
OTU00102 ns ns Bacteria Bacteroidetes
OTU00104 ns ns Bacteria Firmicutes
OTU00106 ns ns Bacteria FirmicutesOTU00107 ns ns Bacteria Proteobacteria
OTU00108 ns ns Bacteria Proteobacteria
OTU00109 ns ns Bacteria Firmicutes
OTU00110 ns ns Bacteria Firmicutes
OTU00111 ns ns Bacteria Firmicutes
OTU00112 ns ns Bacteria Firmicutes
OTU00115 ns ns Bacteria Firmicutes
OTU00117 ns ns Bacteria Fusobacteria
OTU00118 ns ns Bacteria Firmicutes
OTU00121 ns ns Bacteria Bacteroidetes
OTU00122 ns ns Bacteria Firmicutes
OTU00123 ns ns Bacteria Proteobacteria
OTU00124 ns ns Bacteria Proteobacteria
OTU00125 ns ns Bacteria Firmicutes
OTU00126 ns ns Bacteria Actinobacteria
OTU00127 ns ns Bacteria Firmicutes
OTU00128 ns ns Bacteria Bacteroidetes
OTU00129 ns ns Bacteria Bacteroidetes
OTU00130 ns ns Bacteria Bacteroidetes
OTU00131 ns ns Bacteria Firmicutes
OTU00133 ns ns Bacteria Bacteroidetes
OTU00134 ns ns Bacteria Firmicutes
OTU00135 ns ns Bacteria Firmicutes
OTU00137 ns ns Bacteria Actinobacteria
OTU00138 ns ns Bacteria Actinobacteria
OTU00139 ns ns Bacteria Firmicutes
OTU00140 ns ns Bacteria Firmicutes
OTU00141 ns ns Bacteria Firmicutes
OTU00143 ns ns Bacteria Firmicutes
OTU00144 ns ns Bacteria Firmicutes
OTU00145 ns ns Bacteria Firmicutes
OTU00148 ns ns Bacteria Bacteroidetes
OTU00149 ns ns Bacteria Firmicutes
OTU00150 ns ns Bacteria Bacteroidetes
OTU00151 ns ns Bacteria Bacteroidetes
OTU00152 ns ns Bacteria Firmicutes
OTU00153 ns ns Bacteria Candidatus_Saccharibacteria
OTU00154 ns ns Bacteria Firmicutes
OTU00155 ns ns Bacteria Proteobacteria
OTU00156 ns ns Bacteria Firmicutes
OTU00157 ns ns Bacteria Firmicutes
OTU00158 ns ns Bacteria Firmicutes
OTU00159 ns ns Bacteria Firmicutes
OTU00161 ns ns Bacteria Proteobacteria
OTU00162 ns ns Bacteria Firmicutes
OTU00164 ns ns Bacteria Bacteroidetes
OTU00166 ns ns Bacteria Firmicutes
OTU00167 ns ns Bacteria Firmicutes
OTU00168 ns ns Bacteria Firmicutes
OTU00169 ns ns Bacteria FirmicutesOTU00171 ns ns Bacteria Bacteroidetes
OTU00172 ns ns Bacteria Firmicutes
OTU00173 ns ns Bacteria Bacteroidetes
OTU00174 ns ns Bacteria Firmicutes
OTU00175 ns ns Bacteria Firmicutes
OTU00176 ns ns Bacteria Proteobacteria
OTU00177 ns ns Bacteria Firmicutes
OTU00179 ns ns Bacteria Firmicutes
OTU00180 ns ns Bacteria Firmicutes
OTU00181 ns ns Bacteria Bacteroidetes
OTU00182 ns ns Bacteria Bacteroidetes
OTU00183 ns ns Bacteria Proteobacteria
OTU00185 ns ns Bacteria Firmicutes
OTU00186 ns ns Bacteria Firmicutes
OTU00187 ns ns Bacteria Firmicutes
OTU00188 ns ns Bacteria Bacteroidetes
OTU00192 ns ns Bacteria Bacteroidetes
OTU00193 ns ns Bacteria Bacteroidetes
OTU00196 ns ns Bacteria Bacteroidetes
OTU00197 ns ns Bacteria Firmicutes
OTU00198 ns ns Bacteria Firmicutes
OTU00200 ns ns Bacteria Firmicutes
OTU00201 ns ns Bacteria Bacteroidetes
OTU00202 ns ns Bacteria Actinobacteria
OTU00203 ns ns Bacteria Bacteroidetes
OTU00204 ns ns Bacteria Proteobacteria
OTU00205 ns ns Bacteria Firmicutes
OTU00206 ns ns Bacteria Firmicutes
OTU00208 ns ns Bacteria Bacteroidetes
OTU00209 ns ns Bacteria Firmicutes
OTU00210 ns ns Bacteria Firmicutes
OTU00212 ns ns Bacteria Firmicutes
OTU00217 ns ns Bacteria Actinobacteria
OTU00218 ns ns Bacteria Candidatus_Saccharibacteria
OTU00220 ns ns Bacteria Firmicutes
OTU00221 ns ns Bacteria Firmicutes
OTU00222 ns ns Bacteria Firmicutes
OTU00223 ns ns Bacteria Bacteroidetes
OTU00224 ns ns Bacteria Proteobacteria
OTU00226 ns ns Bacteria Proteobacteria
OTU00227 ns ns Bacteria Proteobacteria
OTU00228 ns ns Bacteria Firmicutes
OTU00229 ns ns Bacteria Firmicutes
OTU00231 ns ns Bacteria Actinobacteria
OTU00232 ns ns Bacteria Firmicutes
OTU00235 ns ns Bacteria Firmicutes
OTU00237 ns ns Bacteria Firmicutes
OTU00238 ns ns Bacteria Firmicutes
OTU00239 ns ns Bacteria SR1
OTU00241 ns ns Bacteria BacteroidetesOTU00244 ns ns Bacteria Fusobacteria
OTU00245 ns ns Bacteria Fusobacteria
OTU00247 ns ns Bacteria Firmicutes
OTU00250 ns ns Bacteria Bacteroidetes
OTU00252 ns ns Bacteria Fusobacteria
OTU00253 ns ns Bacteria Firmicutes
OTU00254 ns ns Bacteria Spirochaetes
OTU00256 ns ns Bacteria Bacteroidetes
OTU00260 ns ns Bacteria Firmicutes
OTU00262 ns ns Bacteria Firmicutes
OTU00266 ns ns Bacteria Bacteroidetes
OTU00267 ns ns Bacteria Bacteroidetes
OTU00269 ns ns Bacteria Firmicutes
OTU00270 ns ns Bacteria Bacteroidetes
OTU00271 ns ns Bacteria Bacteroidetes
OTU00272 ns ns Bacteria Fusobacteria
OTU00273 ns ns Bacteria Firmicutes
OTU00275 ns ns Bacteria Firmicutes
OTU00278 ns ns Bacteria Bacteroidetes
OTU00281 ns ns Bacteria Proteobacteria
OTU00284 ns ns Bacteria Actinobacteria
OTU00291 ns ns Bacteria Bacteroidetes
OTU00295 ns ns Bacteria Bacteroidetes
OTU00296 ns ns Bacteria Firmicutes
OTU00298 ns ns Archaea Euryarchaeota
OTU00299 ns ns Bacteria Proteobacteria
OTU00300 ns ns Bacteria Actinobacteria
OTU00301 ns ns Bacteria Synergistetes
OTU00302 ns ns Bacteria Candidatus_Saccharibacteria
OTU00305 ns ns Bacteria Fusobacteria
OTU00306 ns ns Bacteria Firmicutes
OTU00307 ns ns Bacteria Firmicutes
OTU00309 ns ns Bacteria Bacteroidetes
OTU00310 ns ns Bacteria Firmicutes
OTU00311 ns ns Bacteria Firmicutes
OTU00312 ns ns Bacteria Spirochaetes
OTU00314 ns ns Bacteria Actinobacteria
OTU00315 ns ns Bacteria Actinobacteria
OTU00318 ns ns Bacteria Firmicutes
OTU00321 ns ns Bacteria Firmicutes
OTU00324 ns ns Bacteria Firmicutes
OTU00325 ns ns Bacteria Bacteroidetes
OTU00327 ns ns Bacteria Actinobacteria
OTU00328 ns ns Bacteria Proteobacteria
OTU00330 ns ns Bacteria Firmicutes
OTU00332 ns ns Bacteria Firmicutes
OTU00337 ns ns Bacteria Fusobacteria
OTU00339 ns ns Bacteria Actinobacteria
OTU00340 ns ns Bacteria Synergistetes
OTU00350 ns ns Bacteria VerrucomicrobiaOTU00351 ns ns Bacteria Firmicutes
OTU00352 ns ns Bacteria Firmicutes
OTU00353 ns ns Bacteria Firmicutes
OTU00356 ns ns Bacteria Bacteroidetes
OTU00358 ns ns Bacteria Bacteroidetes
OTU00359 ns ns Bacteria Firmicutes
OTU00360 ns ns Bacteria Firmicutes
OTU00362 ns ns Bacteria Firmicutes
OTU00363 ns ns Bacteria Firmicutes
OTU00364 ns ns Bacteria Bacteroidetes
OTU00365 ns ns Bacteria Firmicutes
OTU00368 ns ns Bacteria Firmicutes
OTU00369 ns ns Bacteria SR1
OTU00371 ns ns Bacteria Firmicutes
OTU00375 ns ns Bacteria Firmicutes
OTU00376 ns ns Bacteria Firmicutes
OTU00378 ns ns Bacteria Actinobacteria
OTU00379 ns ns Bacteria Firmicutes
OTU00382 ns ns Bacteria Firmicutes
OTU00383 ns ns Bacteria Bacteroidetes
OTU00385 ns ns Bacteria Firmicutes
OTU00386 ns ns Bacteria Firmicutes
OTU00388 ns ns Bacteria Firmicutes
OTU00391 ns ns Bacteria Bacteroidetes
OTU00393 ns ns Bacteria Candidatus_Saccharibacteria
OTU00398 ns ns Bacteria Firmicutes
OTU00412 ns ns Bacteria Bacteroidetes
OTU00413 ns ns Bacteria Bacteroidetes
OTU00416 ns ns Bacteria Firmicutes
OTU00419 ns ns Bacteria Firmicutes
OTU00421 ns ns Bacteria Bacteroidetes
OTU00430 ns ns Bacteria Firmicutes
OTU00433 ns ns Bacteria Firmicutes
OTU00434 ns ns Bacteria Bacteroidetes
OTU00442 ns ns Bacteria Firmicutes
OTU00443 ns ns Bacteria Proteobacteria
OTU00444 ns ns Bacteria Firmicutes
OTU00445 ns ns Bacteria Spirochaetes
OTU00448 ns ns Bacteria Lentisphaerae
OTU00449 ns ns Bacteria Candidatus_Saccharibacteria
OTU00452 ns ns Bacteria Firmicutes
OTU00454 ns ns Bacteria Firmicutes
OTU00457 ns ns Bacteria Firmicutes
OTU00458 ns ns Bacteria Firmicutes
OTU00461 ns ns Bacteria Bacteroidetes
OTU00464 ns ns Bacteria Firmicutes
OTU00466 ns ns Bacteria Firmicutes
OTU00469 ns ns Bacteria Bacteroidetes
OTU00470 ns ns Bacteria Bacteroidetes
OTU00471 ns ns Bacteria BacteroidetesOTU00472 ns ns Bacteria Firmicutes
OTU00475 ns ns Bacteria Bacteroidetes
OTU00476 ns ns Bacteria Tenericutes
OTU00477 ns ns Bacteria Bacteroidetes
OTU00479 ns ns Bacteria Firmicutes
OTU00482 ns ns Bacteria Bacteroidetes
OTU00486 ns ns Bacteria Bacteroidetes
OTU00490 ns ns Bacteria Bacteroidetes
OTU00492 ns ns Bacteria Spirochaetes
OTU00495 ns ns Bacteria Proteobacteria
OTU00496 ns ns Bacteria Bacteroidetes
OTU00500 ns ns Bacteria Firmicutes
OTU00508 ns ns Bacteria Fusobacteria
OTU00510 ns ns Bacteria Firmicutes
OTU00511 ns ns Bacteria Proteobacteria
OTU00514 ns ns Bacteria Bacteroidetes
OTU00515 ns ns Bacteria Firmicutes
OTU00516 ns ns Bacteria Candidatus_Saccharibacteria
OTU00518 ns ns Bacteria Bacteroidetes
OTU00519 ns ns Bacteria Firmicutes
OTU00524 ns ns Bacteria Bacteroidetes
OTU00525 ns ns Bacteria Proteobacteria
OTU00531 ns ns Bacteria Bacteroidetes
OTU00532 ns ns Bacteria Actinobacteria
OTU00533 ns ns Bacteria Firmicutes
OTU00537 ns ns Bacteria Firmicutes
OTU00540 ns ns Bacteria Bacteroidetes
OTU00542 ns ns Bacteria Firmicutes
OTU00544 ns ns Bacteria Firmicutes
OTU00546 ns ns Bacteria Bacteroidetes
OTU00547 ns ns Bacteria Actinobacteria
OTU00552 ns ns Bacteria Firmicutes
OTU00555 ns ns Bacteria Bacteroidetes
OTU00556 ns ns Bacteria Actinobacteria
OTU00557 ns ns Bacteria Synergistetes
OTU00564 ns ns Bacteria Bacteroidetes
OTU00570 ns ns Bacteria Firmicutes
OTU00571 ns ns Bacteria Bacteroidetes
OTU00572 ns ns Bacteria Bacteroidetes
OTU00575 ns ns Bacteria Firmicutes
OTU00586 ns ns Bacteria Actinobacteria
OTU00587 ns ns Bacteria Firmicutes
OTU00592 ns ns Bacteria Fusobacteria
OTU00593 ns <.1 Bacteria Bacteroidetes
OTU00595 ns ns Bacteria Spirochaetes
OTU00599 ns ns Bacteria Bacteroidetes
OTU00600 ns ns Bacteria Candidatus_Saccharibacteria
OTU00608 ns ns Bacteria Bacteroidetes
OTU00612 ns ns Bacteria Fusobacteria
OTU00618 ns ns Bacteria SpirochaetesOTU00619 ns ns Bacteria Firmicutes
OTU00620 ns ns Bacteria Actinobacteria
OTU00621 ns ns Bacteria Cyanobacteria/Chloroplast
OTU00622 ns ns Bacteria Bacteroidetes
OTU00626 ns ns Bacteria Firmicutes
OTU00640 ns ns Bacteria Chloroflexi
OTU00651 ns ns Bacteria Bacteroidetes
OTU00652 ns ns Bacteria Proteobacteria
OTU00661 ns ns Bacteria Firmicutes
OTU00667 ns ns Bacteria Proteobacteria
OTU00668 ns ns Bacteria Spirochaetes
OTU00670 ns ns Bacteria Actinobacteria
OTU00671 ns ns Bacteria Firmicutes
OTU00676 ns ns Bacteria Actinobacteria
OTU00683 ns ns Bacteria Firmicutes
OTU00686 ns ns Bacteria Actinobacteria
OTU00688 ns ns Bacteria Firmicutes
OTU00691 ns ns Bacteria Firmicutes
OTU00696 ns ns Bacteria Bacteroidetes
OTU00700 ns ns Bacteria Firmicutes
OTU00703 ns ns Bacteria Actinobacteria
OTU00706 ns ns Bacteria Firmicutes
OTU00713 ns ns Bacteria Bacteroidetes
OTU00719 ns ns Bacteria Proteobacteria
OTU00720 ns ns Bacteria Firmicutes
OTU00721 ns ns Bacteria Bacteroidetes
OTU00722 ns ns Bacteria Firmicutes
OTU00727 ns ns Bacteria Firmicutes
OTU00730 ns ns Bacteria Firmicutes
OTU00732 ns ns Bacteria Firmicutes
OTU00733 ns ns Bacteria Firmicutes
OTU00738 ns ns Bacteria Bacteroidetes
OTU00742 ns ns Bacteria Tenericutes
OTU00743 ns ns Bacteria Bacteroidetes
OTU00747 ns ns Bacteria Firmicutes
OTU00748 ns ns Bacteria Firmicutes
OTU00750 ns ns Bacteria Bacteroidetes
OTU00752 ns ns Bacteria Firmicutes
OTU00753 ns ns Bacteria Actinobacteria
OTU00757 ns ns Bacteria Firmicutes
OTU00758 ns ns Bacteria Firmicutes
OTU00759 ns ns Bacteria Bacteroidetes
OTU00763 ns ns Bacteria Firmicutes
OTU00764 ns ns Bacteria Firmicutes
OTU00770 ns ns Bacteria Actinobacteria
OTU00778 ns ns Bacteria Firmicutes
OTU00785 ns ns Bacteria Actinobacteria
OTU00791 ns ns Bacteria Firmicutes
OTU00794 ns ns Bacteria Fusobacteria
OTU00815 ns ns Bacteria ProteobacteriaOTU00816 ns ns Bacteria Actinobacteria
OTU00821 ns ns Bacteria Actinobacteria
OTU00822 ns ns Bacteria Actinobacteria
OTU00825 ns ns Bacteria Actinobacteria
OTU00827 ns ns Bacteria Firmicutes
OTU00831 ns ns Bacteria Bacteroidetes
OTU00832 ns ns Bacteria Bacteroidetes
OTU00850 ns ns Bacteria Lentisphaerae
OTU00851 ns ns Bacteria Proteobacteria
OTU00873 ns ns Bacteria Firmicutes
OTU00875 ns ns Bacteria Firmicutes
OTU00876 ns ns Bacteria Actinobacteria
OTU00886 ns ns Bacteria Fusobacteria
OTU00889 ns ns Bacteria Bacteroidetes
OTU00899 ns ns Bacteria Firmicutes
OTU00901 ns ns Bacteria Bacteroidetes
OTU00907 ns ns Bacteria Spirochaetes
OTU00908 ns ns Bacteria Firmicutes
OTU00912 ns ns Bacteria Firmicutes
OTU00922 ns ns Bacteria Bacteroidetes
OTU00925 ns ns Bacteria Proteobacteria
OTU00930 ns ns Bacteria Firmicutes
OTU00931 ns ns Bacteria Actinobacteria
OTU00934 ns ns Bacteria Firmicutes
OTU00937 ns ns Bacteria Actinobacteria
OTU00938 ns ns Bacteria Bacteroidetes
OTU00940 ns ns Bacteria Bacteroidetes
OTU00944 ns ns Bacteria Actinobacteria
OTU00948 ns ns Bacteria Actinobacteria
OTU00958 ns ns Bacteria Firmicutes
OTU00964 ns ns Bacteria Firmicutes
OTU00970 ns ns Bacteria Bacteroidetes
OTU00971 ns ns Bacteria Bacteroidetes
OTU00975 ns ns Bacteria Spirochaetes
OTU00976 ns ns Bacteria Actinobacteria
OTU00984 ns ns Bacteria Bacteroidetes
OTU01012 ns ns Bacteria Bacteroidetes
OTU01014 ns ns Bacteria Firmicutes
OTU01015 ns ns Bacteria Firmicutes
OTU01026 ns ns Bacteria Firmicutes
OTU01027 ns ns Bacteria Firmicutes
OTU01031 ns ns Bacteria Bacteroidetes
OTU01034 ns ns Bacteria Spirochaetes
OTU01044 ns ns Bacteria Firmicutes
OTU01052 ns ns Bacteria Proteobacteria
