verdict	confidence	pmid	disease	substrate	technology	platform	species	design	mixed_content	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	reasoning_path
IN-SCOPE	HIGH	25758642	CRC+adenoma	stool	shotgun-WGS	Illumina	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_25758642.md
IN-SCOPE	HIGH	29375539	colorectal cancer	stool (also biopsy CT + saliva)	16S	Illumina MiSeq	human	cross-sectional-case-control	multi-substrate pilot (stool + saliva + tumor tissue); only paired 10-vs-10 fecal 16S qualifies; PRJNA356414	PASS	PARTIAL	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29375539.md
IN-SCOPE	HIGH	29687353	CRC	stool	16S	Illumina MiSeq	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29687353.md
IN-SCOPE	MEDIUM	29689266	colorectal cancer	stool	shotgun-WGS	Illumina (Nextera/TruSeq adapters; model not stated in main text)	human	cross-sectional-case-control	discovery cohort partly reuses previously-published HK metagenomes plus 37 new controls; 3 validation cohorts	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29689266.md
IN-SCOPE	HIGH	29985435	CRC-adenoma-carcinoma-sequence	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Healthy vs HP/LRA/HRA/ADK adenoma-carcinoma sequence; ADK-T (post-treatment) is a secondary comparator	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29985435.md
IN-SCOPE	HIGH	30157754	CRC+adenoma+polyps	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	biopsies also collected but 16S is on stool	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30157754.md
IN-SCOPE	HIGH	30459201	CRC+adenoma	stool	shotgun-WGS+virome+16S	Illumina-HiSeq-4000	human	cross-sectional-case-control	16S-reused-from-prior-study;new-WGS+virome	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30459201.md
IN-SCOPE	HIGH	30472682	CRC+adenoma	stool	shotgun-WGS	Illumina HiSeq 2000	human	cross-sectional-case-control	German/French V2 cohort is public re-analysis for validation only	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30472682.md
IN-SCOPE	HIGH	30548192	CRC+adenoma+post-op+healthy	stool	16S-V3V4	Illumina-MiSeq-PE300	human	cross-sectional-case-control	4-groups-Chinese-cohort;NCT03385213;follow-up-subset-NDA-vs-CIT	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30548192.md
IN-SCOPE	HIGH	30936548	CRC	stool	shotgun-WGS	Illumina HiSeq 2000/2500/4000	human	cross-sectional-case-control	Wirbel Nat Med — 2 new cohorts + validation on 2 public cohorts	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30936548.md
IN-SCOPE	HIGH	31171880	CRC+adenoma	stool	shotgun-WGS	Illumina-HiSeq2500	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31171880.md
IN-SCOPE	HIGH	31281534	CRC	stool	16S	Illumina MiSeq PE300	human	cross-sectional-case-control	50 CRC vs 50 healthy fecal 16S	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31281534.md
IN-SCOPE	MEDIUM	31358825	CRC+adenoma	stool	16S V3-V4	Illumina (Nextera adapter)	human	cross-sectional-case-control	normal/adenoma/cancer enterotype stool 16S	PASS	PASS	PASS	PARTIAL	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31358825.md
IN-SCOPE	HIGH	33996615	CRC	stool	16S-V3V4	Illumina-MiSeq-2x300	human	cross-sectional-case-control	Chinese-cohort-Harbin;34-CRC-vs-52-healthy(26-old+26-young)	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33996615.md
IN-SCOPE	HIGH	34044781	colorectal cancer	stool	16S	Illumina HiSeq 2500 (PE250)	human	cross-sectional-case-control	Chinese cohort; NC(33) + Fa(38 pre-surgery CRC) + Fb(36 post-surgery); NC vs Fa is canonical case/control; V4 amplicon	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34044781.md
